"What means CRUD?";"Create, Read, Update, Delete"
"How to say \"авторизация пользователя\"?";"User authentication"
"Translate \"по умолчанию\"";"By default"
"What is a backend?";"The server-side part of an application"
"What is a frontend?";"The client-side interface a user interacts with"
"Translate: \"настройка окружения\"";"Environment setup"
"What means \"deployment\"?";"Uploading code to a production environment"
"Translate: \"обработка ошибок\"";"Error handling"
"Translate: \"исходный код\"";"Source code"
"What is \"debugging\"?";"Finding and fixing errors in code"
"How do you say \"отправить форму\"?";"Submit the form"
"Translate: \"база данных\"";"Database"
"What means \"responsive design\"?";"Layout adapts to screen size"
"What is a framework?";"A set of tools for building applications"
"Translate: \"удалённая работа\"";"Remote work"
"How to say \"создать репозиторий\"?";"Create a repository"
"What is \"pull request\"?";"A request to merge code into a repository"
"Translate: \"тестовое задание\"";"Test assignment"
"What is a bug?";"An error in the program"
"What does \"open-source\" mean?";"Publicly available code anyone can use and contribute to"
