ЕО	Единица транспортировки
#Н/Д	701$000010
100193419	701$000020
100193424	701$000030
100193426	701$000040
100193427	701$000050
100193428	701$000060
100193429	701$000070
#Н/Д	701$000080
100193436	701$000100
100193438	701$000110
#Н/Д	701$000120
100193440	701$000130
#Н/Д	701$000140
100193441	701$000150
100193447	701$000160
#Н/Д	701$000170
100193448	701$000180
100193451	701$000190
#Н/Д	701$000200
#Н/Д	701$000210
100193456	701$000220
#Н/Д	701$000230
#Н/Д	701$000240
100193457	701$000250
#Н/Д	701$000260
100193458	701$000270
#Н/Д	701$000280
#Н/Д	701$000290
100193468	701$000300
100193469	701$000310
100193471	701$000320
#Н/Д	701$000330
#Н/Д	701$000340
100193476	701$000350
100193477	701$000360
100193479	701$000370
100193480	701$000380
100193481	701$000390
#Н/Д	701$000400
#Н/Д	701$000410
#Н/Д	701$000420
100193483	701$000430
100193484	701$000440
100193485	701$000450
100193486	701$000460
100193487	701$000470
100193488	701$000480
100193489	701$000490
100193494	701$000500
100193495	701$000510
100193498	701$000520
100193499	701$000530
100193500	701$000540
100193501	701$000550
100193503	701$000560
100193504	701$000570
#Н/Д	701$000580
100193506	701$000590
100193509	701$000595
100193511	701$000600
100193513	701$000610
100193515	701$000620
100193516	701$000630
#Н/Д	701$000640
#Н/Д	701$000650
#Н/Д	701$000660
100193521	701$000670
100193523	701$000680
100193524	701$000690
100193525	701$000695
100193526	701$000700
100193527	701$000710
100193528	701$000720
100193530	701$000730
100193531	701$000740
100193532	701$000750
100193533	701$000760
100193534	701$000770
100193536	701$000780
100193537	701$000790
100193538	701$000800
100193541	701$000810
100193542	701$000820
100193543	701$000830
100193544	701$000840
100193547	701$000850
#Н/Д	701$000860
100193549	701$000870
100193550	701$000890
100193552	701$000900
#Н/Д	701$000910
100193555	701$000920
100193556	701$000930
100193557	701$000940
100193559	701$000950
100193560	701$000960
100193561	701$000970
#Н/Д	701$000980
100193562	701$000990
100193563	701$001000
100193564	701$001010
100193565	701$001020
#Н/Д	701$001030
100193569	701$001040
100193570	701$001050
100193574	701$001060
100193577	701$001070
100193580	701$001080
100193581	701$001090
100193582	701$001100
100193584	701$001110
100193585	701$001120
100193588	701$001130
100193589	701$001140
100193590	701$001150
100193591	701$001160
#Н/Д	701$001170
100193583	701$001180
100193575	701$001190
100193567	701$001200
#Н/Д	701$001210
100193490	701$001220
100193512	701$001230
100193545	701$001250
100193497	701$001260
#Н/Д	701$001270
100193491	701$001280
100193535	701$001290
100193435	701$001300
100193518	701$001330
100193514	701$001340
100193551	701$001350
100193579	701$001360
100193420	701$001370
100193422	701$001380
#Н/Д	701$001390
100193425	701$001400
#Н/Д	701$001410
#Н/Д	701$001420
100193430	701$001430
100193431	701$001440
100193433	701$001450
100193434	701$001460
#Н/Д	701$001470
100193437	701$001480
100193439	701$001490
#Н/Д	701$001500
100193442	701$001510
100193443	701$001520
100193444	701$001530
#Н/Д	701$001540
