Название,Компания,Локация,Зарплата_текст,Зарплата_от,Зарплата_до,Зарплата_средняя,Описание,Требования,Обязанности,Навыки,Ссылка
Junior C# программист,ООО Комплексная Интеграция,"Барнаул, р-н Железнодорожный",Не указана,,,,"О компанииКомплексная интеграция — это системный интегратор маркировки продукции «Честный знак».Мы более 8 лет занимаемся разработкой комплексных решений с использованием промышленного оборудования: ПЛК (программируемые логические контроллеры), сканеры штрих-кодов, принтеры и другоеоборудование. В отдел разработки программного обеспечения для системы маркировки ""Честный знак"" нам требуется Junior- программист   Требования:  Базовые знания C#, My SQL Огромное желание учиться  Условия:  Работа в офисе на полный день. Для удаленных сотрудников не подходит; Корпоративное обучение; Компенсация затрат, связанных с рабочим процессом","Базовые знания C#, My SQL Огромное желание учиться  Условия:  Работа в офисе на полный день. Для удаленных сотрудников не подходит; Корпоративное обучение; Компенсация затрат, связанных с рабочим процессом",,,https://hh.ru/vacancy/130382237?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Программист С# с GO,ТехВилл,Москва,Не указана,50000000.0,50000000.0,50000000.0,"ТехВилл – IT-компания и партнёр ВкусВилл по развитию цифровых решений. Мы отвечаем за разработку мобильных и web- приложений, автоматизацию бизнес-процессов, искусственный интеллект, devops, инфобез ВкусВилла. Нашими решениями пользуется свыше 1 000 000 клиентов и сотрудников ВкусВилла. Мы в поисках Backend‑разработчика (.NET/Go) для продукта «ВкусВилл». Ищем Middle-разработчика на C# с глубокими знаниями .NET и интересом к развитию в высоконагруженных распределённых системах на Go.  Обязанности:  Разработка и поддержка высоконагруженных backend-сервисов; Участие в проектах на C# (ASP.NET Core) и постепенное вовлечение в разработку на Go; Проектирование архитектуры, участие в код-ревью, оптимизация производительности; Работа в кросс-функциональной команде над сложными и интересными продуктами.  Требования:   Глубокий опыт с C# / .NET (от 3 лет, уровень Middle); Отличное знание C# и платформы .NET Core; Коммерческий опыт разработки на Go от 1 года; Опыт коммерческой разработки на ASP.NET Core (Web API); Владение Entity Framework Core, понимание современных шаблонов проектирования и архитектур (DDD, Clean Architecture, Unit of Work, CQRS); Уверенное применение принципов SOLID, DRY, KISS; Опыт работы с ABP Framework будет большим плюсом; Навыки работы с инфраструктурой и данными; Опыт работы с PostgreSQL, Redis. Знакомство с ClickHouse — плюс; Умение работать с Kafka или другими брокерами сообщений; Опыт работы с Git, Docker, CI/CD; Понимание принципов Observability и знакомство с инструментами: Prometheus, Grafana, OpenTelemetry, Sentry.  Личные качества:  Готовность и сильное желание развиваться в направлении Go; Умение работать в команде, конструктивно обсуждать решения; Ответственный подход к написанию чистого, поддерживаемого кода.  Будет значительным преимуществом:  Понимание специфики Go: goroutines, channels, интерфейсы, работа с памятью; Опыт работы с gRPC, Protobuf также будет плюсом; Опыт построения отказоустойчивых и масштабируемых сервисов на Go.  Что мы предлагаем:  Возможность перехода от enterprise-разработки на C# к созданию высоконагруженных микросервисов на Go под руководством опытной команды; Реальные проекты с современным стеком технологий; Стабильность проектов на C# и динамичный рост в направлении Go; Помощь в освоении Go: менторство, внутренние воркшопы, участие в конференциях.  Условия:  ​​​​​Работа в аккредитованной IT-компании; Удалённая работа на территории РФ; Официальное оформление с первого дня работы и поддержка куратора во время адаптации; Прозрачная система развития: понятные грейды, внутреннее и внешнее обучение, индивидуальные планы развития и матрицы компетенций; Экологичная культура и адекватные руководители; Компенсация затрат на медицинские услуги, ментальное благополучие, спорт, тимбилдинги и использование AI-помощников; Бонус 15% с покупок во ВкусВилл; Социальная ответственность: поощряем донорство, оказываем материальную помощь при рождении ребёнка; Партнерская программа «Зелёный свет»: за рекомендации знакомых специалистов можно получить до 50 000 руб.","Глубокий опыт с C# / .NET (от 3 лет, уровень Middle); Отличное знание C# и платформы .NET Core; Коммерческий опыт разработки на Go от 1 года; Опыт коммерческой разработки на ASP.NET Core (Web API); Владение Entity Framework Core, понимание современных шаблонов проектирования и архитектур (DDD, Clean Architecture, Unit of Work, CQRS); Уверенное применение принципов SOLID, DRY, KISS; Опыт работы с ABP Framework будет большим плюсом; Навыки работы с инфраструктурой и данными; Опыт работы с PostgreSQL, Redis. Знакомство с ClickHouse — плюс; Умение работать с Kafka или другими брокерами сообщений; Опыт работы с Git, Docker, CI/CD; Понимание принципов Observability и знакомство с инструментами: Prometheus, Grafana, OpenTelemetry, Sentry.  Личные качества:  Готовность и сильное желание развиваться в направлении Go; Умение работать в команде, конструктивно обсуждать решения; Ответственный подход к написанию чистого, поддерживаемого кода.  Будет значительным преимуществом:  Понимание специфики Go: goroutines, channels, интерфейсы, работа с памятью; Опыт работы с gRPC, Protobuf также будет плюсом; Опыт построения отказоустойчивых и масштабируемых сервисов на Go.  Что мы предлагаем:  Возможность перехода от enterprise-разработки на C# к созданию высоконагруженных микросервисов на Go под руководством опытной команды; Реальные проекты с современным стеком технологий; Стабильность проектов на C# и динамичный рост в направлении Go; Помощь в освоении Go: менторство, внутренние воркшопы, участие в конференциях.  Условия:  ​​​​​Работа в аккредитованной IT-компании; Удалённая работа на территории РФ; Официальное оформление с первого дня работы и поддержка куратора во время адаптации; Прозрачная система развития: понятные грейды, внутреннее и внешнее обучение, индивидуальные планы развития и матрицы компетенций; Экологичная культура и адекватные руководители; Компенсация затрат на медицинские услуги, ментальное благополучие, спорт, тимбилдинги и использование AI-помощников; Бонус 15% с покупок во ВкусВилл; Социальная ответственность: поощряем донорство, оказываем материальную помощь при рождении ребёнка; Партнерская программа «Зелёный свет»: за рекомендации знакомых специалистов можно получить до 50 000 руб.","Разработка и поддержка высоконагруженных backend-сервисов; Участие в проектах на C# (ASP.NET Core) и постепенное вовлечение в разработку на Go; Проектирование архитектуры, участие в код-ревью, оптимизация производительности; Работа в кросс-функциональной команде над сложными и интересными продуктами.  Требования:   Глубокий опыт с C# / .NET (от 3 лет, уровень Middle); Отличное знание C# и платформы .NET Core; Коммерческий опыт разработки на Go от 1 года; Опыт коммерческой разработки на ASP.NET Core (Web API); Владение Entity Framework Core, понимание современных шаблонов проектирования и архитектур (DDD, Clean Architecture, Unit of Work, CQRS); Уверенное применение принципов SOLID, DRY, KISS; Опыт работы с ABP Framework будет большим плюсом; Навыки работы с инфраструктурой и данными; Опыт работы с PostgreSQL, Redis. Знакомство с ClickHouse — плюс; Умение работать с Kafka или другими брокерами сообщений; Опыт работы с Git, Docker, CI/CD; Понимание принципов Observability и знакомство с инструментами: Prometheus, Grafana, OpenTelemetry, Sentry.  Личные качества:  Готовность и сильное желание развиваться в направлении Go; Умение работать в команде, конструктивно обсуждать решения; Ответственный подход к написанию чистого, поддерживаемого кода.  Будет значительным преимуществом:  Понимание специфики Go: goroutines, channels, интерфейсы, работа с памятью; Опыт работы с gRPC, Protobuf также будет плюсом; Опыт построения отказоустойчивых и масштабируемых сервисов на Go.  Что мы предлагаем:  Возможность перехода от enterprise-разработки на C# к созданию высоконагруженных микросервисов на Go под руководством опытной команды; Реальные проекты с современным стеком технологий; Стабильность проектов на C# и динамичный рост в направлении Go; Помощь в освоении Go: менторство, внутренние воркшопы, участие в конференциях.  Условия:  ​​​​​Работа в аккредитованной IT-компании; Удалённая работа на территории РФ; Официальное оформление с первого дня работы и поддержка куратора во время адаптации; Прозрачная система развития: понятные грейды, внутреннее и внешнее обучение, индивидуальные планы развития и матрицы компетенций; Экологичная культура и адекватные руководители; Компенсация затрат на медицинские услуги, ментальное благополучие, спорт, тимбилдинги и использование AI-помощников; Бонус 15% с покупок во ВкусВилл; Социальная ответственность: поощряем донорство, оказываем материальную помощь при рождении ребёнка; Партнерская программа «Зелёный свет»: за рекомендации знакомых специалистов можно получить до 50 000 руб.",,https://hh.ru/vacancy/134675526?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Разработчик C# .Net,ООО Верста,Санкт-Петербург,Не указана,,,,"Ищем бойца в команду разработки, стремящегося научиться делать софт для бизнеса в сфере логистики и интернет торговли и через два года стать синьором. Нужно любить писать код и иметь базовые знания в C#. У вас будет возможность изучить современный стек: .net, базы данных, микросервисы, фронт и бэк. Мы используем связку стека Microsoft (.NET 10, EntityFramework) и OpenSource (PostgreSQL, Kafka, React.JS) и не боимся экспериментировать с самыми современными технологиями.Что надо делать:- Наполнять наш Личный кабинет новыми сервисами и возможностями- Подключать новые каналы обслуживания (чат-боты, мобильные приложения)- Интегрировать сервисы в личный кабинет и с бэк-офисными системами- Строить идеальную систему, которая умеет работать сама без участия человека:)Мы ожидаем:- Базовые знания C#- Базовые знания ASP.NET, Entity Framework- Базовые знания реляционных Баз данныхДополнительным плюсом будет:- Умение работать с git, Jira- Опыт работы с Docker- Базовые знания React.JSМы предлагаем: - Работа в креативной команде профессионалов - Широкие возможности для профессионального развития и интересные задачи - Возможность гибридного графика после испытательного срока - Официальное оформление по ТК РФ - Возможность изучать английский язык за счет компании - Полис ДМС после испытательного срока - Уютный офис в самом центре Петербурга, чай, кофе",,,,https://hh.ru/vacancy/134661421?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Разработчик С#,Консорциум Кодекс,Санкт-Петербург,Не указана,,,,"Консорциум «Кодекс» – IT-компания с многолетней историей. На сегодняшний день Консорциум – это команда из более 800 профессионалов! Более 30 лет мы выпускаем информационные и программные продукты под брендами «Кодекс» и «Техэксперт», реализуем масштабные IT-проекты, комплексно автоматизирующие деятельность предприятий, связанную с управлением нормативными документами и требованиями. Основные задачи:  Разработка проектов на технологиях С#; Разработка автоматизированных систем.  Необходимый опыт и навыки:  Опыт работы не менее 1 года; Профессиональное знание и опыт разработки на: C#, .net, Python; Написание unit тестов (разработка через тестирование); Опыт работы с HTML, DHTML, SQL; Знание и опыт использования технологий: XML, JavaScript.  Наши условия:  Современный комфортабельный офис в центре города (м. Василеостровская); Оформление по ТК РФ; Интересные и разнообразные проекты, современные технологии; Работа в команде высококвалифицированных специалистов; Приятные корпоративные активности: занятия по шахматам с тренером, настольный теннис, компенсация фитнеса.",,,,https://hh.ru/vacancy/134717876?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Разработчик UI C# / WPF,AVBINVEST LIMITED,Самара,Не указана,,,,"Мы разрабатываем ПО для биржевой торговли. Развиваем собственные продукты: B2B, B2C. Большинство сотрудников работает удаленно, что дает возможность строить карьеру в перспективной IT-нише из любой точки мира.Ищем разработчика уровня middle для развития клиентского приложения в сфере трейдинга. Основной фокус — разработка сложного, производительного UI на WPF.Обязанности: Участвовать в процессе совершенствования финансового биржевого терминала. Предлагать и разрабатывать архитектурные решения. В частности вы будете заниматься улучшением интерфейсов по макетам от UI/UX специалиста, разработкой нового функционала повышающего удобство работы пользователя с биржевыми данными, исправлять баги зафиксированные техподдержкой в обращениях пользователей. А именно:   Разрабатывать десктопные клиент-серверные приложения на C#, WPF, MS SQL;   Разрабатывать архитектурные решения;   Быть полноценным членом SCRUM-команды продукта;   Находить и исправлять баги вместе с сотрудниками поддержки.   Требования:  Уверенное знание C# и .NET.  Опыт разработки desktop-приложений на WPF.   Хорошее понимание и практический опыт применения MVVM:   разделение View, ViewModel и Model;   Commands, Bindings, Converters;   уведомления об изменениях данных;   взаимодействие между компонентами без жёстких зависимостей.     Глубокое понимание механизмов WPF:   Dependency Properties;   Routed Events и Commands;   Data Templates, Control Templates и Styles;   Visual Tree и Logical Tree;   Ресурсы и система привязок.     Опыт создания кастомных и составных контролов.   Понимание «ручной» отрисовки в WPF:   переопределение OnRender;   работа с DrawingContext;   использование DrawingVisual, Geometry, Path;   создание собственных визуальных элементов;   управление перерисовкой и инвалидацией UI.     Понимание производительности WPF:   UI thread и Dispatcher;   виртуализация элементов;   снижение количества объектов в Visual Tree;   оптимизация bindings, templates и частых обновлений интерфейса;   профилирование и устранение UI-задержек.     Опыт работы с многопоточностью и асинхронностью: async/await, Task, синхронизация с UI-потоком.   Умение работать с потоковыми и часто обновляемыми данными в интерфейсе. Будет преимуществом:- Наличие опыта разработки торговых терминалов, графиков, стаканов заявок, таблиц котировок или других интерфейсов с высокой частотой обновления данных;- Знание особенностей отображения больших объёмов данных в реальном времени;- Опыт работы с WebSocket, TCP или другими протоколами получения потоковых данных;- Понимание базовых биржевых сущностей: заявки, сделки, позиции, инструменты, котировки, стакан;- Опыт использования библиотек для построения графиков либо разработки собственной системы визуализации;- Опыт профилирования .NET-приложений и поиска проблем с памятью и производительностью.   Условия:   Удаленный формат в графике 5/2;   Время работы: с 10:00 до 19:00 по мск;   Ставка 9 EUR в час;   Своевременная выплата (2 раза в месяц);   Квартальные и годовые премии.","Уверенное знание C# и .NET.  Опыт разработки desktop-приложений на WPF.   Хорошее понимание и практический опыт применения MVVM:   разделение View, ViewModel и Model;   Commands, Bindings, Converters;   уведомления об изменениях данных;   взаимодействие между компонентами без жёстких зависимостей.     Глубокое понимание механизмов WPF:   Dependency Properties;   Routed Events и Commands;   Data Templates, Control Templates и Styles;   Visual Tree и Logical Tree;   Ресурсы и система привязок.     Опыт создания кастомных и составных контролов.   Понимание «ручной» отрисовки в WPF:   переопределение OnRender;   работа с DrawingContext;   использование DrawingVisual, Geometry, Path;   создание собственных визуальных элементов;   управление перерисовкой и инвалидацией UI.     Понимание производительности WPF:   UI thread и Dispatcher;   виртуализация элементов;   снижение количества объектов в Visual Tree;   оптимизация bindings, templates и частых обновлений интерфейса;   профилирование и устранение UI-задержек.     Опыт работы с многопоточностью и асинхронностью: async/await, Task, синхронизация с UI-потоком.   Умение работать с потоковыми и часто обновляемыми данными в интерфейсе. Будет преимуществом:- Наличие опыта разработки торговых терминалов, графиков, стаканов заявок, таблиц котировок или других интерфейсов с высокой частотой обновления данных;- Знание особенностей отображения больших объёмов данных в реальном времени;- Опыт работы с WebSocket, TCP или другими протоколами получения потоковых данных;- Понимание базовых биржевых сущностей: заявки, сделки, позиции, инструменты, котировки, стакан;- Опыт использования библиотек для построения графиков либо разработки собственной системы визуализации;- Опыт профилирования .NET-приложений и поиска проблем с памятью и производительностью.   Условия:   Удаленный формат в графике 5/2;   Время работы: с 10:00 до 19:00 по мск;   Ставка 9 EUR в час;   Своевременная выплата (2 раза в месяц);   Квартальные и годовые премии.","Участвовать в процессе совершенствования финансового биржевого терминала. Предлагать и разрабатывать архитектурные решения. В частности вы будете заниматься улучшением интерфейсов по макетам от UI/UX специалиста, разработкой нового функционала повышающего удобство работы пользователя с биржевыми данными, исправлять баги зафиксированные техподдержкой в обращениях пользователей. А именно:   Разрабатывать десктопные клиент-серверные приложения на C#, WPF, MS SQL;   Разрабатывать архитектурные решения;   Быть полноценным членом SCRUM-команды продукта;   Находить и исправлять баги вместе с сотрудниками поддержки.   Требования:  Уверенное знание C# и .NET.  Опыт разработки desktop-приложений на WPF.   Хорошее понимание и практический опыт применения MVVM:   разделение View, ViewModel и Model;   Commands, Bindings, Converters;   уведомления об изменениях данных;   взаимодействие между компонентами без жёстких зависимостей.     Глубокое понимание механизмов WPF:   Dependency Properties;   Routed Events и Commands;   Data Templates, Control Templates и Styles;   Visual Tree и Logical Tree;   Ресурсы и система привязок.     Опыт создания кастомных и составных контролов.   Понимание «ручной» отрисовки в WPF:   переопределение OnRender;   работа с DrawingContext;   использование DrawingVisual, Geometry, Path;   создание собственных визуальных элементов;   управление перерисовкой и инвалидацией UI.     Понимание производительности WPF:   UI thread и Dispatcher;   виртуализация элементов;   снижение количества объектов в Visual Tree;   оптимизация bindings, templates и частых обновлений интерфейса;   профилирование и устранение UI-задержек.     Опыт работы с многопоточностью и асинхронностью: async/await, Task, синхронизация с UI-потоком.   Умение работать с потоковыми и часто обновляемыми данными в интерфейсе. Будет преимуществом:- Наличие опыта разработки торговых терминалов, графиков, стаканов заявок, таблиц котировок или других интерфейсов с высокой частотой обновления данных;- Знание особенностей отображения больших объёмов данных в реальном времени;- Опыт работы с WebSocket, TCP или другими протоколами получения потоковых данных;- Понимание базовых биржевых сущностей: заявки, сделки, позиции, инструменты, котировки, стакан;- Опыт использования библиотек для построения графиков либо разработки собственной системы визуализации;- Опыт профилирования .NET-приложений и поиска проблем с памятью и производительностью.   Условия:   Удаленный формат в графике 5/2;   Время работы: с 10:00 до 19:00 по мск;   Ставка 9 EUR в час;   Своевременная выплата (2 раза в месяц);   Квартальные и годовые премии.",,https://hh.ru/vacancy/134799019?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
C#/.NET-разработчик (математическое моделирование),Altenar,Санкт-Петербург,Не указана,,,,"Altenar — международная IT-компания и поставщик программного обеспечения для B2B-клиентов.Мы специализируемся на разработке и являемся ведущим поставщиком технологических решений для индустрии спортивных данных за рубежом. Наши офисы находятся в России, Великобритании, Грузии, Бразилии, Греции, Уругвае и на Мальте.С 2011 года внедряем стабильный и проверенный софт для автоматизации процессов производства, анализа и парсинга спортивных данных в реальном времени. Про проект:Мультифид (Altenar Data Feed) — продукт, позволяющий в мягком реальном времени производить вероятности наступления событий в спортивных матчах. Про команду: Команда математического обеспечения занимается созданием математического ядра т.е. реализацией математических моделей и расчета вероятностей спортивных событий. От вас потребуется:   Улучшать имеющийся функционал и разрабатывать новый   Рецензировать код других членов команды   Оптимизовать имеющиеся математические модели и разрабатывать новые   Делиться опытом с младшими разработчиками.   Мы работаем с: .NET 9, PostgreSQL, XUnit Вам будет у нас интересно, если:   Вам нравится использовать современные технологии (вся разработка идет на C# 14 и .Net 9)   Вы увлекаетесь теорией вероятностей и комбинаторикой   Вы хотите разрабатывать надёжный, хорошо тестируемый продукт   Вы любите вызовы, встающие при построении отказоустойчивых систем   Вам нравятся разбираться в вопросах низкоуровневых оптимизаций   Будет плюсом:   Опыт работы с математическими библиотеками .NET, например, Accord.NET, Math.NET, ALGLIB, Extreme.Numerics   Понимание теории вероятностей и статистики   Умение применять численные методы в разработке и оптимизации сложных алгоритмов и моделей.   Мы ожидаем, что вы:   Имеете опыт разработки с использованием платформы .Net от двух лет   Имеете оконченное профильное техническое / математическое образование (информатика, математика, физика)   Следите за развитием языка C#, экосистемы .Net и эволюцией «лучших практик» в этой экосистеме   Имеете богатый опыт использования поставляемых Microsoft библиотек (BCL, неизменяемые и конкурентные коллекции, TPL, вспомогательные классы для реализации Task-based Asynchronous Pattern, библиотеки-расширения, такие как DI, Logging, Options и прочие)   Имеете опыт работы с очередями сообщений или потоковыми системами и событийно-ориентированной архитектурой   Знакомы с популярными шаблонами проектирования, используемыми при разработке на языке C#, и архитектурными шаблонами, применяемыми при разработке отказоустойчивых систем   Готовы взять на себя разработку отдельных компонент системы от продумывания внутренней архитектуры до её стабильной реализации.   Мы предлагаем:   Работу над интересными задачами, на которые вы сможете активно влиять   Работу в аккредитованной ИТ-компании   Оформление по ТК РФ и достойную белую заработную плату   ДМС, стоматологию и страхование жизни за счет работодателя   Компенсацию фитнеса   Компенсацию за интернет и электроэнергию   Удаленную работу или работу в офисе по вашему выбору (Москва, Санкт-Петербург, Владимир, Смоленск, Тбилиси)   Корпоративную парковку   Бесплатное обучение английскому   Участие в профильных конференциях, митапах и корпоративных активностях по желанию   Обучение и поддержку при подготовке докладов для публичных выступлений",,,,https://hh.ru/vacancy/134804243?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Инженер-программист (C#/.NET-разработчик),OmniLine,"Екатеринбург, р-н Октябрьский",Не указана,80000000.0,80000000.0,80000000.0,"Обязанности  Разработка модулей для интеграции систем;   Разработка модулей и конфигураций к программным продуктам;   Настройка и адаптация программных продуктов под бизнес- задачи.  Требования  хорошие знания C#, JavaScript(Опыт работы. Синтаксис. ООП); обязательное знание SQL(Опыт построения запросов, связанных таблиц со сложными условиями); JSON, XML (Обязательное понимание формата данных); Web-socket, REST API; желательно WSDL, SOAP  Условия  Уровень оплаты от 80000 руб. (оклад), учитывается ваша квалификация; Полностью ""белая"" зарплата и оформление в соответствии с ТК РФ; График работы 5/2; Гибкий час начала рабочего дня; Возможность военнообязанным получить отсрочку от срочной службы и мобилизации IT-специалиста (при наличии образования, входящего в перечень); ДМС; Частичная компенсация питания; Бесплатная парковка; Дружелюбный коллектив профессионалов своего дела; Условия для развития профессиональных навыков. Обучения и сертификации; Интересные и разнообразные проекты.  С 10.07.2026 г. компания переезжает в новый офис по адресу Белинского д. 83","хорошие знания C#, JavaScript(Опыт работы. Синтаксис. ООП); обязательное знание SQL(Опыт построения запросов, связанных таблиц со сложными условиями); JSON, XML (Обязательное понимание формата данных); Web-socket, REST API; желательно WSDL, SOAP  Условия  Уровень оплаты от 80000 руб. (оклад), учитывается ваша квалификация; Полностью ""белая"" зарплата и оформление в соответствии с ТК РФ; График работы 5/2; Гибкий час начала рабочего дня; Возможность военнообязанным получить отсрочку от срочной службы и мобилизации IT-специалиста (при наличии образования, входящего в перечень); ДМС; Частичная компенсация питания; Бесплатная парковка; Дружелюбный коллектив профессионалов своего дела; Условия для развития профессиональных навыков. Обучения и сертификации; Интересные и разнообразные проекты.  С 10.07.2026 г. компания переезжает в новый офис по адресу Белинского д. 83","Разработка модулей для интеграции систем;   Разработка модулей и конфигураций к программным продуктам;   Настройка и адаптация программных продуктов под бизнес- задачи.  Требования  хорошие знания C#, JavaScript(Опыт работы. Синтаксис. ООП); обязательное знание SQL(Опыт построения запросов, связанных таблиц со сложными условиями); JSON, XML (Обязательное понимание формата данных); Web-socket, REST API; желательно WSDL, SOAP  Условия  Уровень оплаты от 80000 руб. (оклад), учитывается ваша квалификация; Полностью ""белая"" зарплата и оформление в соответствии с ТК РФ; График работы 5/2; Гибкий час начала рабочего дня; Возможность военнообязанным получить отсрочку от срочной службы и мобилизации IT-специалиста (при наличии образования, входящего в перечень); ДМС; Частичная компенсация питания; Бесплатная парковка; Дружелюбный коллектив профессионалов своего дела; Условия для развития профессиональных навыков. Обучения и сертификации; Интересные и разнообразные проекты.  С 10.07.2026 г. компания переезжает в новый офис по адресу Белинского д. 83",,https://hh.ru/vacancy/134714700?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
