Название,Компания,Локация,Зарплата_текст,Зарплата_от,Зарплата_до,Зарплата_средняя,Описание,Требования,Обязанности,Навыки,Ссылка
Разработчик C#,Bip.ru,Москва,Не указана,,,,"Мы группа компаний, 12 лет создающая и развивающая популярные web и мобильные приложения для автолюбителей, которые на данный момент установили более 40 миллионов раз. У нас опытные разработчики, data-driven подход и гибкий процесс работы. Кого мы ищем: нам нужен C# разработчик, который будет развивать backend наших платежных решений и приложения для проверки и оплаты штрафов и платных дорог для ООО МПП (“Мобильные Платежные Приложения”). Мы расширяем команду, потому что у нас очень много крутых идей, но мало рук, чтобы реализовать их все. Технологический стек: .NET 9+, C#, PostgreSQL, Entity Framework, Redis, RabbitMQ, Kubernetes. Немного о продукте: Это сервисы, которые собирают и аккумулируют большое количество информации, позволяя автовладельцу оперативно увидеть штраф или другое начисление, посмотреть его детали и оплатить. Средний рейтинг приложения в сторах 4.8, более полутора миллионов оценок от пользователей. Сейчас 15% всех автовладельцев России оплачивают штрафы через наш сервис.  масштабируемая отказоустойчивая система с высокой пропускной способностью на базе микросервисной архитектуры; нагрузка: десятки миллионов активных пользователей, 700 тысяч человек ежедневно, сотни миллионов задач, запускающихся по расписанию; сервера в облаках, микросервисы, мониторинг, CI/CD, unit-тесты; кодовая база, постоянно поддерживаемая в актуальном состоянии.  Что нужно будет делать:  разрабатывать новый функционал для backend; проектировать и реализовывать новые микросервисы; участвовать в принятии технических решений и планировании процесса разработки; решать вопросы оптимизации производительности на всех уровнях приложений; проводить code-review.  Какие этапы собеседования мы проводим:  Скрининг с HR (30 минут); Техническое интервью с инженером (1,5 часа); Техническое интервью с архитектором (1,5 часа)  Как правило, кандидат все этапы проходит за неделю. Пожелания к опыту работы:  опыт коммерческой разработки на C# от 3 лет; опыт работы с любой современной реляционной СУБД; опыт создания Web API; понимание основных принципов работы высоконагруженных приложений; понимание, что такое CI, и зачем он нужен; умение писать unit-тесты, а также понимание, зачем они нужны.  У нас:  официальное трудоустройство в аккредитованной ИТ-компании; нет переработок и горящих дедлайнов, отдаём предпочтение хорошим решениям и никуда не спешим; ДМС c первого рабочего дня для сотрудника; компенсация питания в сервисе Яндекс Go с чеком 1300 руб./день; техника и ПО на выбор; обучение, книги и курсы; оплачиваем конференции; релокационный пакет. Оплатим дорогу и первый месяц аренды квартиры в Москве в размере 40 тысяч рублей; в последний четверг месяца делаем что-нибудь вместе: вечером идем на занятие по скалолазанию, фехтованию или игре на джембе - идей масса, а завершаем вечер в баре. Два раза в год устраиваем большой корпоратив; удобный офис. Он расположен в современном БЦ Manhattan в 5 минутах ходьбы от Бауманской или в 10 минутах от Красносельской. Разделен на тихую рабочую зону и лаунж с переговорками, кухней, диванами; возможность работать удаленно; удобный график. Начинаем работу в интервале с 8 до 11 утра.","нам нужен C# разработчик, который будет развивать backend наших платежных решений и приложения для проверки и оплаты штрафов и платных дорог для ООО МПП (“Мобильные Платежные Приложения”). Мы расширяем команду, потому что у нас очень много крутых идей, но мало рук, чтобы реализовать их все. Технологический стек: .NET 9+, C#, PostgreSQL, Entity Framework, Redis, RabbitMQ, Kubernetes. Немного о продукте: Это сервисы, которые собирают и аккумулируют большое количество информации, позволяя автовладельцу оперативно увидеть штраф или другое начисление, посмотреть его детали и оплатить. Средний рейтинг приложения в сторах 4.8, более полутора миллионов оценок от пользователей. Сейчас 15% всех автовладельцев России оплачивают штрафы через наш сервис.  масштабируемая отказоустойчивая система с высокой пропускной способностью на базе микросервисной архитектуры; нагрузка: десятки миллионов активных пользователей, 700 тысяч человек ежедневно, сотни миллионов задач, запускающихся по расписанию; сервера в облаках, микросервисы, мониторинг, CI/CD, unit-тесты; кодовая база, постоянно поддерживаемая в актуальном состоянии.  Что нужно будет делать:  разрабатывать новый функционал для backend; проектировать и реализовывать новые микросервисы; участвовать в принятии технических решений и планировании процесса разработки; решать вопросы оптимизации производительности на всех уровнях приложений; проводить code-review.  Какие этапы собеседования мы проводим:  Скрининг с HR (30 минут); Техническое интервью с инженером (1,5 часа); Техническое интервью с архитектором (1,5 часа)  Как правило, кандидат все этапы проходит за неделю. Пожелания к опыту работы:  опыт коммерческой разработки на C# от 3 лет; опыт работы с любой современной реляционной СУБД; опыт создания Web API; понимание основных принципов работы высоконагруженных приложений; понимание, что такое CI, и зачем он нужен; умение писать unit-тесты, а также понимание, зачем они нужны.  У нас:  официальное трудоустройство в аккредитованной ИТ-компании; нет переработок и горящих дедлайнов, отдаём предпочтение хорошим решениям и никуда не спешим; ДМС c первого рабочего дня для сотрудника; компенсация питания в сервисе Яндекс Go с чеком 1300 руб./день; техника и ПО на выбор; обучение, книги и курсы; оплачиваем конференции; релокационный пакет. Оплатим дорогу и первый месяц аренды квартиры в Москве в размере 40 тысяч рублей; в последний четверг месяца делаем что-нибудь вместе: вечером идем на занятие по скалолазанию, фехтованию или игре на джембе - идей масса, а завершаем вечер в баре. Два раза в год устраиваем большой корпоратив; удобный офис. Он расположен в современном БЦ Manhattan в 5 минутах ходьбы от Бауманской или в 10 минутах от Красносельской. Разделен на тихую рабочую зону и лаунж с переговорками, кухней, диванами; возможность работать удаленно; удобный график. Начинаем работу в интервале с 8 до 11 утра.",,,https://iskitim.hh.ru/vacancy/129471202?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
C#/.NET-разработчик,ООО МУЛЬТИФАКТОР,Москва,Не указана,,,,"МУЛЬТИФАКТОР – это молодая динамичная B2B SaaS компания. Наш продукт помогает защитить все виды удалённых подключений (к VPN, VDI, SSH, RDP) дополнительным фактором доступа, а также организовать защищённую единую точку входа (SSO) в корпоративные приложения. О проекте  .net 8-10; криптография / шифрование ldap, linux/windows GitLab, Kubernetes, CI\CD, Kibana, Grafana и другие радости современных подходов к разработке; Оптимизация, высокая производительность; Высокие требования к качеству кода: система должна работать 24/365.    Что предстоит делать?  Продумывать и реализовывать сервисы бизнес-логики, API; Разрабатывать удобные и функциональные личный кабинеты; Вместе с командой прорабатывать архитектуру проекта и дизайн кода; Исправлять свои и чужие ошибки в коде, рефакторить код; Проводить кросс-ревью кода внутри команды; Предлагать свежие идеи и/или best practices; Влиять на продукт.    Какие профессиональные навыки нам важны?  Культура кода: понятный, производительный и чистый код; Разбираться в незнакомой доменной области и вникать в RFC; Автономность: самому находить решение и доводить задачу до конца, а также уметь своевременно обратиться за помощью; Умение работать с РСУБД; Писать внятные тесты и рефакторить код; Оценивать сроки задач; Строить дизайн систем с нуля; Соблюдать баланс скорость/качество.    Будет большим плюсом:  Познания в криптографии; Умение оптимизировать производительность; Понимание стека LDAP.    С какими технологиями предстоит работать? .NET 8-10, WebApi, РСУБД, NATS / любой брокер, LDAP, Kubernetes, GitLab.   Мы предлагаем:  Оформление по ТК РФ; Работа в аккредитованной IT-компании; График 5/2; Гибрид (2 дня офис/3 дня из дома); ДМС после прохождения испытательного срока.","к качеству кода: система должна работать 24/365.    Что предстоит делать?  Продумывать и реализовывать сервисы бизнес-логики, API; Разрабатывать удобные и функциональные личный кабинеты; Вместе с командой прорабатывать архитектуру проекта и дизайн кода; Исправлять свои и чужие ошибки в коде, рефакторить код; Проводить кросс-ревью кода внутри команды; Предлагать свежие идеи и/или best practices; Влиять на продукт.    Какие профессиональные навыки нам важны?  Культура кода: понятный, производительный и чистый код; Разбираться в незнакомой доменной области и вникать в RFC; Автономность: самому находить решение и доводить задачу до конца, а также уметь своевременно обратиться за помощью; Умение работать с РСУБД; Писать внятные тесты и рефакторить код; Оценивать сроки задач; Строить дизайн систем с нуля; Соблюдать баланс скорость/качество.    Будет большим плюсом:  Познания в криптографии; Умение оптимизировать производительность; Понимание стека LDAP.    С какими технологиями предстоит работать? .NET 8-10, WebApi, РСУБД, NATS / любой брокер, LDAP, Kubernetes, GitLab.   Мы предлагаем:  Оформление по ТК РФ; Работа в аккредитованной IT-компании; График 5/2; Гибрид (2 дня офис/3 дня из дома); ДМС после прохождения испытательного срока.",,,https://iskitim.hh.ru/vacancy/134621034?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
C#/.NET-разработчик,Консорциум Кодекс,Санкт-Петербург,Не указана,,,,"Консорциум ""Кодекс"" - лидер рынка информационных услуг по разработке уникальных IT-решений под брендом ""Техэксперт"", закрывающих все потребности специалистов российских предприятий в профессиональной информации. Более 30 лет мы успешно внедряем информационные технологии в сфере управления нормативно-технической документацией. Нам доверяют крупнейшие предприятия России. Основные задачи:  Доработка старого функционала с учетом новых требований; Выделение из старого монолитного кода логических блоков в отдельные микросервисы; Интеграция с различными сервисами партнеров: взаимодействие с различными внешними API и доработка/ разработка собственного API.  Необходимый опыт и навыки:  Знания платформы .Net и языка C#; Понимание шаблонов и принципов проектирования; Работа с ORM библиотеками и различными СУБД (MS SQL Server, PostgreSQL); Опыт командной разработки, работа с GitLab.  Будет преимуществом:  Опыт работы с docker, kubernetes, web API, ASP.NET, Dapper, EF Core , Helm (templating), Clickhouse, RabbitMQ, PHP, NuGet; Понимание процессов CI/CD.  Наши условия:  Входим в список IT лицензированных аккредитованных компаний; Современный комфортабельный офис в центре города (м. Василеостровская); Интересные и разнообразные проекты, современные технологии; Официальное оформление по ТК РФ; График 5/2 с 09.30. до 18.00ч (с возможностью частично удаленного формата после прохождения испытательного срока); Приятные корпоративные активности: компенсация фитнеса, занятия по шахматам с тренером, настольный теннис.",,,,https://iskitim.hh.ru/vacancy/128637745?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Разработчик C# .Net,ООО Верста,Санкт-Петербург,Не указана,,,,"Ищем бойца в команду разработки, стремящегося научиться делать софт для бизнеса в сфере логистики и интернет торговли и через два года стать синьором. Нужно любить писать код и иметь базовые знания в C#. У вас будет возможность изучить современный стек: .net, базы данных, микросервисы, фронт и бэк. Мы используем связку стека Microsoft (.NET 10, EntityFramework) и OpenSource (PostgreSQL, Kafka, React.JS) и не боимся экспериментировать с самыми современными технологиями.Что надо делать:- Наполнять наш Личный кабинет новыми сервисами и возможностями- Подключать новые каналы обслуживания (чат-боты, мобильные приложения)- Интегрировать сервисы в личный кабинет и с бэк-офисными системами- Строить идеальную систему, которая умеет работать сама без участия человека:)Мы ожидаем:- Базовые знания C#- Базовые знания ASP.NET, Entity Framework- Базовые знания реляционных Баз данныхДополнительным плюсом будет:- Умение работать с git, Jira- Опыт работы с Docker- Базовые знания React.JSМы предлагаем: - Работа в креативной команде профессионалов - Широкие возможности для профессионального развития и интересные задачи - Возможность гибридного графика после испытательного срока - Официальное оформление по ТК РФ - Возможность изучать английский язык за счет компании - Полис ДМС после испытательного срока - Уютный офис в самом центре Петербурга, чай, кофе",,,,https://iskitim.hh.ru/vacancy/134661421?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Ведущий разработчик C# (.NET),АО Березка,Москва,Не указана,,,,"Обязанности:  Проектирование и разработка масштабируемых микросервисов и распределенных систем на .NET 9. Работа с большими данными, интеграциями и высокими объёмами транзакционного/событийного трафика. Участие в проектировании архитектуры новых систем и сервисов, выбор технологических стеков, паттернов интеграции и стратегий хранения данных. Оценка и декомпозиция задач, планирование работ разработчиков, спринтов, участие в управлении инженерными процессами. Проактивное участие в развитии команды и внедрения новых технологий и практик. Выстраивание коммуникации с PO, стейкхолдерами и смежными командами. Плотное сотрудничество с продуктовой и инженерной командами для принятия архитектурных и процессных решений. Оптимизация запросов и проектирование схем в СУБД. Проведение код-ревью, поддержание лучших практик и обеспечение покрытия тестами. Профилирование, поиск узких мест и оптимизация высоконагруженных участков системы. Отслеживание и работа по улучшению ключевых метрик производственного процесса.  Требования:  Опыт: от 3 лет коммерческой разработки на .NET (C#), из них минимум 2 года на позициях Senior уровня. Современный стек: Глубокое знание .NET 9/ Чистый код: Практическое применение лучших инженерных практик и паттернов. Архитектура: Опыт построения распределенных и отказоустойчивых систем (Microservices). Понимание CQRS + Mediator. Базы данных: Уверенное владение PostgreSQL (оптимизация запросов, индексы, транзакции, изоляция, артиционирование, шардирование). Опыт работы с NoSQL (Redis, MongoDB). Опыт работы с EF. Брокеры сообщений: Продвинутый опыт работы с RabbitMQ (получатели, продюсеры, обменник, очереди). API и интеграции: Опыт реализации и поддержки API на базе REST. Поиск: elasticsearch. Cloud & DevOps: Понимание принципов CI/CD, контейнеризации (Docker, Kubernetes).  Важно:  Системное мышление: Умение видеть картину целиком, а не только в рамках своей задачи. Коммуникация: Умение вести конструктивный диалог, аргументированно отстаивать технические решения и находить компромиссы. Ответственность: Готовность брать на себя ответственность за принятые архитектурные решения и работу команды. Обучаемость: Желание изучать новые технологии и делиться знаниями с командой. Лидерство: Способность вести за собой, мотивировать команду и брать на себя роль лидера.  Будет преимуществом:  Опыт работы по интеграции с ЕИС. Опыт работы на стороне ЭТП/ВСРЗ. AI в разработке: Активное использование LLM и ИИ-инструментов в производственном процессе (генерация кода, код-ревью, формирование документация, оптимизация рутинных задач).  Условия:  В офисе: чай, кофе, дружелюбный коллектив. Пятидневная рабочая неделя: с 9-18 или с 10-19 (обсуждаемо). Белая заработная плата два раза в месяц. Команда: мотивированная команда профессионалов, работающая над социально значимым продуктом национального масштаба.","Опыт: от 3 лет коммерческой разработки на .NET (C#), из них минимум 2 года на позициях Senior уровня. Современный стек: Глубокое знание .NET 9/ Чистый код: Практическое применение лучших инженерных практик и паттернов. Архитектура: Опыт построения распределенных и отказоустойчивых систем (Microservices). Понимание CQRS + Mediator. Базы данных: Уверенное владение PostgreSQL (оптимизация запросов, индексы, транзакции, изоляция, артиционирование, шардирование). Опыт работы с NoSQL (Redis, MongoDB). Опыт работы с EF. Брокеры сообщений: Продвинутый опыт работы с RabbitMQ (получатели, продюсеры, обменник, очереди). API и интеграции: Опыт реализации и поддержки API на базе REST. Поиск: elasticsearch. Cloud & DevOps: Понимание принципов CI/CD, контейнеризации (Docker, Kubernetes).  Важно:  Системное мышление: Умение видеть картину целиком, а не только в рамках своей задачи. Коммуникация: Умение вести конструктивный диалог, аргументированно отстаивать технические решения и находить компромиссы. Ответственность: Готовность брать на себя ответственность за принятые архитектурные решения и работу команды. Обучаемость: Желание изучать новые технологии и делиться знаниями с командой. Лидерство: Способность вести за собой, мотивировать команду и брать на себя роль лидера.  Будет преимуществом:  Опыт работы по интеграции с ЕИС. Опыт работы на стороне ЭТП/ВСРЗ. AI в разработке: Активное использование LLM и ИИ-инструментов в производственном процессе (генерация кода, код-ревью, формирование документация, оптимизация рутинных задач).  Условия:  В офисе: чай, кофе, дружелюбный коллектив. Пятидневная рабочая неделя: с 9-18 или с 10-19 (обсуждаемо). Белая заработная плата два раза в месяц. Команда: мотивированная команда профессионалов, работающая над социально значимым продуктом национального масштаба.","Проектирование и разработка масштабируемых микросервисов и распределенных систем на .NET 9. Работа с большими данными, интеграциями и высокими объёмами транзакционного/событийного трафика. Участие в проектировании архитектуры новых систем и сервисов, выбор технологических стеков, паттернов интеграции и стратегий хранения данных. Оценка и декомпозиция задач, планирование работ разработчиков, спринтов, участие в управлении инженерными процессами. Проактивное участие в развитии команды и внедрения новых технологий и практик. Выстраивание коммуникации с PO, стейкхолдерами и смежными командами. Плотное сотрудничество с продуктовой и инженерной командами для принятия архитектурных и процессных решений. Оптимизация запросов и проектирование схем в СУБД. Проведение код-ревью, поддержание лучших практик и обеспечение покрытия тестами. Профилирование, поиск узких мест и оптимизация высоконагруженных участков системы. Отслеживание и работа по улучшению ключевых метрик производственного процесса.  Требования:  Опыт: от 3 лет коммерческой разработки на .NET (C#), из них минимум 2 года на позициях Senior уровня. Современный стек: Глубокое знание .NET 9/ Чистый код: Практическое применение лучших инженерных практик и паттернов. Архитектура: Опыт построения распределенных и отказоустойчивых систем (Microservices). Понимание CQRS + Mediator. Базы данных: Уверенное владение PostgreSQL (оптимизация запросов, индексы, транзакции, изоляция, артиционирование, шардирование). Опыт работы с NoSQL (Redis, MongoDB). Опыт работы с EF. Брокеры сообщений: Продвинутый опыт работы с RabbitMQ (получатели, продюсеры, обменник, очереди). API и интеграции: Опыт реализации и поддержки API на базе REST. Поиск: elasticsearch. Cloud & DevOps: Понимание принципов CI/CD, контейнеризации (Docker, Kubernetes).  Важно:  Системное мышление: Умение видеть картину целиком, а не только в рамках своей задачи. Коммуникация: Умение вести конструктивный диалог, аргументированно отстаивать технические решения и находить компромиссы. Ответственность: Готовность брать на себя ответственность за принятые архитектурные решения и работу команды. Обучаемость: Желание изучать новые технологии и делиться знаниями с командой. Лидерство: Способность вести за собой, мотивировать команду и брать на себя роль лидера.  Будет преимуществом:  Опыт работы по интеграции с ЕИС. Опыт работы на стороне ЭТП/ВСРЗ. AI в разработке: Активное использование LLM и ИИ-инструментов в производственном процессе (генерация кода, код-ревью, формирование документация, оптимизация рутинных задач).  Условия:  В офисе: чай, кофе, дружелюбный коллектив. Пятидневная рабочая неделя: с 9-18 или с 10-19 (обсуждаемо). Белая заработная плата два раза в месяц. Команда: мотивированная команда профессионалов, работающая над социально значимым продуктом национального масштаба.",,https://iskitim.hh.ru/vacancy/134683381?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
.NET-разработчик / C# Developer,АО Специализированный депозитарий ИНФИНИТУМ,Москва,Не указана,,,,"АО «Специализированный депозитарий «ИНФИНИТУМ» — крупнейшая компания, работающая со всеми участниками рынка коллективных инвестиций, и один из лидеров спецдепозитарных услуг в России. Сейчас мы активно развиваем наши продукты и сервисы, усиливаем IT-направление и ищем в команду опытного .NET-разработчика, которому будет интересно участвовать в проектировании, разработке и развитии внутренних информационных систем. Чем предстоит заниматься:  ​​​​Проектировать и разрабатывать архитектуру информационных систем, микросервисов и интеграционных сервисов; Разрабатывать клиент-серверные приложения и сервисы на ASP.NET Core; Писать автотесты: unit, интеграционные и функциональные тесты; Исправлять баги и дорабатывать существующий функционал; Проводить code review; Участвовать во внедрении и сопровождении систем; Готовить техническую документацию; Предлагать решения по рефакторингу и развитию внутренних стандартов разработки; Взаимодействовать с бизнес-подразделениями и командой разработки.  Что для нас важно:  Коммерческий опыт разработки на платформе .NET от 3 лет; Опыт разработки на ASP.NET Core; Опыт работы с реляционными базами данных: PostgreSQL, MS SQL или аналогичными; Уверенное знание C#, .NET и выбранного стека технологий; Понимание принципов ООП, SOLID, DRY, KISS; Опыт работы с многопоточным и асинхронным кодом; Опыт разработки с использованием микросервисной архитектуры; Опыт работы с брокерами сообщений: RabbitMQ, Kafka; Опыт написания unit-тестов, интеграционных и функциональных тестов; Знание инструментов мониторинга и логирования: Prometheus, Grafana, OpenSearch; Базовое понимание CI/CD: Docker, Jenkins, GitFlow, Kubernetes.  Мы предлагаем:  Работу в стабильной и надежной компании, которая уже 26 лет занимает лидирующие позиции на рынке; Удаленный формат работы из любой точки РФ или гибридный формат — на выбор; Комфортные современные офисы в Москве и Санкт-Петербурге; Работу в аккредитованной IT-компании; График работы 5/2: с 9:00 до 18:00 или с 10:00 до 19:00; Официальную заработную плату; Оформление с первого рабочего дня и полное соблюдение ТК РФ; Социальный пакет; Возможности для профессионального роста, развития и самореализации; Дружную команду и насыщенную корпоративную жизнь.    Будем рады познакомиться с вами и обсудить возможности сотрудничества!",,"​​​​Проектировать и разрабатывать архитектуру информационных систем, микросервисов и интеграционных сервисов; Разрабатывать клиент-серверные приложения и сервисы на ASP.NET Core; Писать автотесты: unit, интеграционные и функциональные тесты; Исправлять баги и дорабатывать существующий функционал; Проводить code review; Участвовать во внедрении и сопровождении систем; Готовить техническую документацию; Предлагать решения по рефакторингу и развитию внутренних стандартов разработки; Взаимодействовать с бизнес-подразделениями и командой разработки.  Что для нас важно:  Коммерческий опыт разработки на платформе .NET от 3 лет; Опыт разработки на ASP.NET Core; Опыт работы с реляционными базами данных: PostgreSQL, MS SQL или аналогичными; Уверенное знание C#, .NET и выбранного стека технологий; Понимание принципов ООП, SOLID, DRY, KISS; Опыт работы с многопоточным и асинхронным кодом; Опыт разработки с использованием микросервисной архитектуры; Опыт работы с брокерами сообщений: RabbitMQ, Kafka; Опыт написания unit-тестов, интеграционных и функциональных тестов; Знание инструментов мониторинга и логирования: Prometheus, Grafana, OpenSearch; Базовое понимание CI/CD: Docker, Jenkins, GitFlow, Kubernetes.  Мы предлагаем:  Работу в стабильной и надежной компании, которая уже 26 лет занимает лидирующие позиции на рынке; Удаленный формат работы из любой точки РФ или гибридный формат — на выбор; Комфортные современные офисы в Москве и Санкт-Петербурге; Работу в аккредитованной IT-компании; График работы 5/2: с 9:00 до 18:00 или с 10:00 до 19:00; Официальную заработную плату; Оформление с первого рабочего дня и полное соблюдение ТК РФ; Социальный пакет; Возможности для профессионального роста, развития и самореализации; Дружную команду и насыщенную корпоративную жизнь.    Будем рады познакомиться с вами и обсудить возможности сотрудничества!",,https://iskitim.hh.ru/vacancy/134807795?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
C#/.NET-разработчик,ЭОС,Нижний Новгород,Не указана,,,,"Обязанности:  Развитие и поддержка существующей CRM-системы (WPF + MVVM); Разработка новых модулей и интеграционных сервисов; Создание и доработка смежных приложений (десктопных и серверных); Работа с БД Oracle (написание запросов, хранимых процедур, оптимизация); Интеграция с внешними системами через REST; Участие в код-ревью, рефакторинге и поддержке качества кода; Работа в команде с использованием Git (ветвление, merge requests).  Требования:  Глубокое знание C# и .NET Framework 4.8; Опыт разработки десктопных приложений на WPF + MVVM; Работа с Entity Framework (или EF Core) + ADO.NET для Oracle; Отличное знание SQL (Oracle: написание сложных запросов, оптимизация, анализ планов выполнения); Опыт работы с библиотекой DevExpress для WPF (основные контролы, гриды, лейауты, темы); Уверенное владение Git; Понимание принципов SOLID, основных паттернов проектирования; Навыки асинхронного программирования (async/await, Task) и работа с потоками; Умение работать с устаревшим кодом (рефакторинг, миграция на новые версии .NET — будет плюсом).  Условия:  Трудоустройство по ТК РФ; График работы 5/2, с 9.00 до 18.00, удаленно; ДМС после испытательного срока; Доход: оклад + ежемесячная премия.","Глубокое знание C# и .NET Framework 4.8; Опыт разработки десктопных приложений на WPF + MVVM; Работа с Entity Framework (или EF Core) + ADO.NET для Oracle; Отличное знание SQL (Oracle: написание сложных запросов, оптимизация, анализ планов выполнения); Опыт работы с библиотекой DevExpress для WPF (основные контролы, гриды, лейауты, темы); Уверенное владение Git; Понимание принципов SOLID, основных паттернов проектирования; Навыки асинхронного программирования (async/await, Task) и работа с потоками; Умение работать с устаревшим кодом (рефакторинг, миграция на новые версии .NET — будет плюсом).  Условия:  Трудоустройство по ТК РФ; График работы 5/2, с 9.00 до 18.00, удаленно; ДМС после испытательного срока; Доход: оклад + ежемесячная премия.","Развитие и поддержка существующей CRM-системы (WPF + MVVM); Разработка новых модулей и интеграционных сервисов; Создание и доработка смежных приложений (десктопных и серверных); Работа с БД Oracle (написание запросов, хранимых процедур, оптимизация); Интеграция с внешними системами через REST; Участие в код-ревью, рефакторинге и поддержке качества кода; Работа в команде с использованием Git (ветвление, merge requests).  Требования:  Глубокое знание C# и .NET Framework 4.8; Опыт разработки десктопных приложений на WPF + MVVM; Работа с Entity Framework (или EF Core) + ADO.NET для Oracle; Отличное знание SQL (Oracle: написание сложных запросов, оптимизация, анализ планов выполнения); Опыт работы с библиотекой DevExpress для WPF (основные контролы, гриды, лейауты, темы); Уверенное владение Git; Понимание принципов SOLID, основных паттернов проектирования; Навыки асинхронного программирования (async/await, Task) и работа с потоками; Умение работать с устаревшим кодом (рефакторинг, миграция на новые версии .NET — будет плюсом).  Условия:  Трудоустройство по ТК РФ; График работы 5/2, с 9.00 до 18.00, удаленно; ДМС после испытательного срока; Доход: оклад + ежемесячная премия.",,https://iskitim.hh.ru/vacancy/134789851?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
